,Plot ID,Plot identifiers,Elevation,Bulk density (g/cm3),Soil moisture (%),Vegetation percent cover,Vegetation pre-dry mass,Vegetation dry weight,pH,EC (mS),% Sand,% Silt,% Clay,Average sediment accumulation,Percent feldspar present,plot_location,Depth,sed_acc_per_year,sed_acc_mm_per_year,flooding_freq,dry_veg_per_m,bulk_dens_cubic_mm,mass_accumulation,total_sed_acc
0,10A,ds_sw1_6.5,6.5,0.351914675,66.90379443,100,2802.89,1531.97,6.16,43.5,58.6019464,25.26728083,16.13077277,0.779,0.5929,COPR,surface,0.1558,1.558,4,6127.88,0.000351914675,548.28306365,2.6277618485410694
1,10B,ds_sw1_6.5,6.5,1.188768954,43.45934155,100,2802.89,1531.97,7.23,9.21,14.59545955,42.22022202,43.18431843,0.779,0.5929,COPR,subsurface,0.1558,1.558,4,6127.88,0.0011887689539999999,1852.102030332,2.6277618485410694
2,11A,ds_sw1_7.0,7.0,0.201246466,65.64890929,100,1802.952,965.111,6.92,4.33,69.59775491,15.9494855,14.45275959,0.171,0.5143,COPR,surface,0.0342,0.342,2,3860.444,0.000201246466,68.82629137200001,0.6649815282908809
3,11B,ds_sw1_7.0,7.0,0.754034953,74.56776734,100,1802.952,965.111,7.22,4.18,45.81349762,42.18506221,12.00144017,0.171,0.5143,COPR,subsurface,0.0342,0.342,2,3860.444,0.000754034953,257.87995392600004,0.6649815282908809
4,12A,ds_sw1_7.5,7.5,0.1845798,30.54297103,100,1473.66,950.21,6.8,2.67,,,,0.19,0.8332999999999999,COPR,surface,0.038,0.38,1,3800.84,0.00018457979999999998,70.14032399999999,0.4560182407296292
5,12B,ds_sw1_7.5,7.5,1.039655616,28.34419195,100,1473.66,950.21,7.9,0.7847,41.02712752,33.62453271,25.34833976,0.19,0.8332999999999999,COPR,subsurface,0.038,0.38,1,3800.84,0.001039655616,395.06913407999997,0.4560182407296292
6,13A,ds_sw2_6.5,6.5,0.232536623,158.6084278,100,3382.89,1472.43,6.53,6.44,72.17424046,17.65937919,10.16638034,0.836,0.7905,COPR,surface,0.1672,1.672,1,5889.72,0.000232536623,388.80123365599997,2.1151170145477547
7,13B,ds_sw2_6.5,6.5,0.923245952,77.80905642,100,3382.89,1472.43,7.23,4.47,23.86611448,15.11313847,61.02074705,0.836,0.7905,COPR,subsurface,0.1672,1.672,1,5889.72,0.000923245952,1543.667231744,2.1151170145477547
8,14A,ds_sw2_7.0,7.0,0.191493189,189.6354027,100,2613.53,1141.69,6.55,25.9,85.80204778,4.885421745,9.312530473,,0.0,COPR,surface,,,0,4566.76,0.000191493189,,
9,14B,ds_sw2_7.0,7.0,0.499730147,120.9025272,100,2613.53,1141.69,7.36,17.78,66.20027983,23.445932,10.35378773,,0.0,COPR,subsurface,,,0,4566.76,0.000499730147,,
10,15A,ds_sw2_7.5,7.5,0.282999229,91.19898465,100,1437.532,1032.512,6.93,0.3763,91.27965119,1.576063043,7.144285771,0.84,0.7905,COPR,surface,0.168,1.68,0,4130.048,0.00028299922900000004,475.43870472000003,2.1252371916508537
11,15B,ds_sw2_7.5,7.5,0.930891802,36.27358025,100,1437.532,1032.512,6.56,0.8659,61.4438064,16.07875308,22.47744053,0.84,0.7905,COPR,subsurface,0.168,1.68,0,4130.048,0.000930891802,1563.89822736,2.1252371916508537
12,1A,ds_ne1_6.5,6.5,1.313634027,10.05343549,0,0.0,0.0,7.84,51.4,4.23786466,72.75201088,23.01012445,0.716901409,0.1024,COPR,surface,0.143380282,1.433802817,13,0.0,0.001313634027,1883.492168419654,14.001980634765623
13,1B,ds_ne1_6.5,6.5,1.469725006,19.12493103,0,0.0,0.0,8.68,13.3,1.268152178,28.54342521,70.18842261,0.716901409,0.1024,COPR,subsurface,0.143380282,1.433802817,13,0.0,0.001469725006,2107.295853818142,14.001980634765623
14,21A,ncos_e_6.5_a,6.5,1.213018868,27.81073032,0,0.0,0.0,8.12,31.9,,,,1.093,,NCOS,surface,0.2186,2.186,20,0.0,0.001213018868,2651.6592454479996,
15,21B,ncos_e_6.5_a,6.5,1.139597484,27.71989631,0,0.0,0.0,7.56,14.95,,,,1.093,,NCOS,subsurface,0.2186,2.186,20,0.0,0.001139597484,2491.160100024,
16,22A,ncos_e_6.5_c,6.5,1.34924184,11.83077589,36,250.743,73.017,8.03,46.8,32.52207969,53.49078847,13.98713184,1.548,,NCOS,surface,0.3096,3.096,20,292.068,0.0013492418399999998,4177.252736639999,
17,22B,ncos_e_6.5_c,6.5,1.418195837,25.70419614,36,250.743,73.017,7.95,10.42,21.47256439,29.35530315,49.17213246,1.548,,NCOS,subsurface,0.3096,3.096,20,292.068,0.001418195837,4390.734311352,
18,23A,ncos_e_7.0_a,7.0,0.981119497,7.339871705,48,216.23,82.139,7.41,63.4,0.29794637,41.17258893,58.5294647,1.507894737,,NCOS,surface,0.301578947,3.015789474,15,328.556,0.000981119497,2958.8498517887747,
19,23B,ncos_e_7.0_a,7.0,1.350867925,24.02800287,48,216.23,82.139,7.72,13.85,15.30202147,73.980765,10.71721352,1.507894737,,NCOS,subsurface,0.301578947,3.015789474,15,328.556,0.001350867925,4073.933268979221,
20,24A,ncos_e_7.0_c,7.0,1.430043691,8.021203915,24,142.602,37.338,7.5,40.9,49.49232491,41.5134314,8.994243684,3.133333333,,NCOS,surface,0.626666667,6.266666666,10,149.352,0.001430043691,8961.607129313305,
21,24B,ncos_e_7.0_c,7.0,1.486815729,19.96632294,24,142.602,37.338,7.93,15.08,33.5145181,26.33840251,40.14707939,3.133333333,,NCOS,subsurface,0.626666667,6.266666666,10,149.352,0.001486815729,9317.37856740879,
22,25A,ncos_e_7.5_a,7.5,1.283345912,4.463844675,38,121.245,42.833,8.56,2.82,8.678355091,38.16397113,53.15767378,0.532,,NCOS,surface,0.1064,1.064,10,171.332,0.001283345912,1365.480050368,
23,25B,ncos_e_7.5_a,7.5,1.330515723,15.88043913,38,121.245,42.833,8.02,8.43,6.690387191,34.16155276,59.14806005,0.532,,NCOS,subsurface,0.1064,1.064,10,171.332,0.001330515723,1415.6687292719998,
24,26A,ncos_e_7.5_c,7.5,1.243934721,2.636185595,53,167.692,86.801,8.18,2.35,38.67066467,28.16591704,33.16341829,2.881,,NCOS,surface,0.5762,5.762,6,347.204,0.001243934721,7167.551862402,
25,26B,ncos_e_7.5_c,7.5,1.749807247,6.999059742,53,167.692,86.801,8.53,4.83,47.49885085,21.34420529,31.15694386,2.881,,NCOS,subsurface,0.5762,5.762,6,347.204,0.0017498072469999998,10082.389357213999,
26,28A,ncos_n_6.5_a,6.5,1.371960935,25.08677378,80,486.579,167.26,8.22,42.5,13.5846942,76.04867115,10.36663465,1.024,0.2214,NCOS,surface,0.2048,2.048,10,669.04,0.001371960935,2809.77599488,9.250225835591689
27,28B,ncos_n_6.5_a,6.5,1.341621691,35.36729128,80,486.579,167.26,8.72,7.26,14.97109017,31.79481024,53.23409959,1.024,0.2214,NCOS,subsurface,0.2048,2.048,10,669.04,0.0013416216910000001,2747.6412231680006,9.250225835591689
28,29A,ncos_n_7.0_c,7.0,1.304831663,34.95563663,95,1178.151,507.217,7.75,32.1,35.17241379,57.83108446,6.996501749,1.744,0.7857,NCOS,surface,0.3488,3.488,12,2028.868,0.0013048316630000002,4551.252840544001,4.439353442789869
29,29B,ncos_n_7.0_c,7.0,1.638653302,21.93577023,95,1178.151,507.217,8.36,6.9,47.91520708,23.70038233,28.38441059,1.744,0.7857,NCOS,subsurface,0.3488,3.488,12,2028.868,0.001638653302,5715.622717376,4.439353442789869
30,2A,ds_ne1_7.0,7.0,0.701850424,10.69428992,100,948.07,538.66,6.5,32.5,46.64426846,44.35645148,8.999280058,0.08,0.7809999999999999,COPR,surface,0.016,0.16,9,2154.64,0.000701850424,112.29606783999999,0.20486555697823305
31,2B,ds_ne1_7.0,7.0,1.32463377,38.09263577,100,948.07,538.66,7.54,18.06,13.62618019,17.36277804,69.01104177,0.08,0.7809999999999999,COPR,subsurface,0.016,0.16,9,2154.64,0.00132463377,211.9414032,0.20486555697823305
32,30A,ncos_n_7.0_a,7.0,1.335903367,8.745959974,98,781.282,308.777,8.08,12.64,26.46147077,66.17867643,7.359852803,0.445,0.6333,NCOS,surface,0.089,0.89,6,1235.108,0.001335903367,1188.9539966300001,1.4053371230064742
33,30B,ncos_n_7.0_a,7.0,1.309444873,16.64412437,98,781.282,308.777,8.77,3.6,26.63559814,32.00192012,41.36248175,0.445,0.6333,NCOS,subsurface,0.089,0.89,6,1235.108,0.0013094448729999999,1165.4059369699999,1.4053371230064742
34,31A,ncos_n_7.5_c,7.5,1.424672321,16.19633578,85,436.548,333.508,7.44,71.7,39.76554373,51.73241578,8.50204049,1.285,0.44520000000000004,NCOS,surface,0.257,2.57,9,1334.032,0.0014246723210000001,3661.40786497,5.77268643306379
35,31B,ncos_n_7.5_c,7.5,1.551734773,21.91591108,85,436.548,333.508,8.36,7.57,38.08055734,28.88773222,33.03171044,1.285,0.44520000000000004,NCOS,subsurface,0.257,2.57,9,1334.032,0.0015517347729999999,3987.9583666099993,5.77268643306379
36,32A,ncos_n_7.5_a,7.5,1.125327679,7.753597393,100,693.253,493.872,5.007,1.224,19.63839277,29.14458289,51.21702434,0.399,0.7119,NCOS,surface,0.0798,0.798,4,1975.488,0.001125327679,898.0114878420001,1.12094395280236
37,32B,ncos_n_7.5_a,7.5,1.257414546,17.29161934,100,693.253,493.872,4.945,1.116,6.6679996,28.13555933,65.19644107,0.399,0.7119,NCOS,subsurface,0.0798,0.798,4,1975.488,0.0012574145459999999,1003.4168077079999,1.12094395280236
38,33A,ncos_n_8.0_c,8.0,1.291197636,3.314488922,35,135.315,54.145,7.69,19.07,35.96926525,54.02593245,10.00480231,1.941,0.7570999999999999,NCOS,surface,0.3882,3.882,6,216.58,0.0012911976359999998,5012.429222952,5.1274600449082035
39,33B,ncos_n_8.0_c,8.0,1.43310203,13.45646495,35,135.315,54.145,8.22,10.08,34.0448495,41.97145941,23.98369109,1.941,0.7570999999999999,NCOS,subsurface,0.3882,3.882,6,216.58,0.00143310203,5563.30208046,5.1274600449082035
40,34A,ncos_w_6.5_a,6.5,1.558609612,25.32612439,2,7.386,4.81,8.06,91.6,17.38973969,33.62789396,48.98236635,1.383,0.5405,NCOS,surface,0.2766,2.766,13,19.24,0.001558609612,4311.114186792,5.1174838112858465
41,34B,ncos_w_6.5_a,6.5,1.377049602,9.509965212,2,7.386,4.81,7.98,10.53,22.35223522,64.71847185,12.92929293,1.383,0.5405,NCOS,subsurface,0.2766,2.766,13,19.24,0.001377049602,3808.919199132,5.1174838112858465
42,35A,ncos_w_7.0_a,7.0,1.456694937,4.665094243,100,720.13,615.53,7.71,13.14,25.45828919,64.36639146,10.17531935,0.23,0.3871,NCOS,surface,0.046,0.46,10,2462.12,0.001456694937,670.0796710200001,1.188323430638078
43,35B,ncos_w_7.0_a,7.0,1.548226677,14.32523656,100,720.13,615.53,8.16,8.14,21.64940207,32.17613886,46.17445906,0.23,0.3871,NCOS,subsurface,0.046,0.46,10,2462.12,0.0015482266769999999,712.18427142,1.188323430638078
44,36A,ncos_w_7.0_c,7.0,1.411693652,14.35495649,75,666.429,437.867,7.22,52.0,27.47041893,60.14150943,12.38807163,0.506,0.3143,NCOS,surface,0.1012,1.012,7,1751.468,0.001411693652,1428.6339758240001,3.219853643016226
45,36B,ncos_w_7.0_c,7.0,1.528655873,23.56854694,75,666.429,437.867,7.27,20.2,31.48703193,33.14950246,35.36346561,0.506,0.3143,NCOS,subsurface,0.1012,1.012,7,1751.468,0.0015286558729999998,1546.9997434759998,3.219853643016226
